date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-03-29,AC,Acrelândia,city,2,0,True,15256,1200013,13.1096,
2020-03-29,AC,Porto Acre,city,1,0,True,18504,1200807,5.40424,
2020-03-29,AC,Rio Branco,city,31,0,True,407319,1200401,7.61074,
2020-03-29,AC,,state,34,0,True,881935,12,3.85516,
2020-03-29,AL,Importados/Indefinidos,city,4,0,True,,,,
2020-03-29,AL,Maceió,city,12,0,True,1018948,2704302,1.17769,
2020-03-29,AL,Porto Real do Colégio,city,1,0,True,20066,2707503,4.98355,
2020-03-29,AL,,state,17,0,True,3337357,27,0.50939,
2020-03-29,AM,Anori,city,1,,True,21010,1300102,4.75964,
2020-03-29,AM,Boca do Acre,city,1,,True,34308,1300706,2.91477,
2020-03-29,AM,Itacoatiara,city,2,,True,101337,1301902,1.97361,
2020-03-29,AM,Manacapuru,city,2,,True,97377,1302504,2.05387,
2020-03-29,AM,Manaus,city,131,,True,2182763,1302603,6.00157,
2020-03-29,AM,Parintins,city,2,1,True,114273,1303403,1.75019,0.5
2020-03-29,AM,Santo Antônio do Içá,city,1,,True,21602,1303700,4.6292,
2020-03-29,AM,,state,140,1,True,4144597,13,3.37789,0.0071
2020-03-29,BA,Alagoinhas,city,1,0,True,151596,2900702,0.65965,
2020-03-29,BA,Barreiras,city,1,0,True,155439,2903201,0.64334,
2020-03-29,BA,Brumado,city,1,0,True,67195,2904605,1.48821,
2020-03-29,BA,Camaçari,city,1,0,True,299132,2905701,0.3343,
2020-03-29,BA,Canarana,city,1,0,True,26176,2906204,3.82029,
2020-03-29,BA,Conceição do Jacuípe,city,1,0,True,33153,2908507,3.01632,
2020-03-29,BA,Conde,city,1,0,True,25837,2908606,3.87042,
2020-03-29,BA,Feira de Santana,city,9,0,True,614872,2910800,1.46372,
2020-03-29,BA,Ilhéus,city,2,0,True,162327,2913606,1.23208,
2020-03-29,BA,Importados/Indefinidos,city,0,0,True,,,,
2020-03-29,BA,Itabuna,city,2,0,True,213223,2914802,0.93799,
2020-03-29,BA,Itagibá,city,1,0,True,14579,2915205,6.85918,
2020-03-29,BA,Itamaraju,city,1,,True,64486,2915601,1.55072,
2020-03-29,BA,Itororó,city,1,,True,20382,2917102,4.90629,
2020-03-29,BA,Jequié,city,1,0,True,155966,2918001,0.64117,
2020-03-29,BA,Juazeiro,city,2,0,True,216707,2918407,0.92291,
2020-03-29,BA,Lauro de Freitas,city,11,0,True,198440,2919207,5.54324,
2020-03-29,BA,Pojuca,city,1,,True,39519,2925204,2.53043,
2020-03-29,BA,Porto Seguro,city,10,0,True,148686,2925303,6.72558,
2020-03-29,BA,Prado,city,3,0,True,28174,2925501,10.64812,
2020-03-29,BA,Salvador,city,103,1,True,2872347,2927408,3.58592,0.0097
2020-03-29,BA,São Domingos,city,1,0,True,9058,2928950,11.03996,
2020-03-29,BA,Teixeira de Freitas,city,1,0,True,160487,2931350,0.6231,
2020-03-29,BA,,state,156,1,True,14873064,29,1.04888,0.0064
2020-03-29,MG,Belo Horizonte,city,143,0,True,2512070,3106200,5.69252,
2020-03-29,MG,Betim,city,5,0,True,439340,3106705,1.13807,
2020-03-29,MG,Boa Esperança,city,1,0,True,40127,3107109,2.49209,
2020-03-29,MG,Bom Despacho,city,1,0,True,50605,3107406,1.97609,
2020-03-29,MG,Campo Belo,city,1,0,True,54029,3111200,1.85086,
2020-03-29,MG,Campos Altos,city,1,0,True,15461,3111507,6.46789,
2020-03-29,MG,Carmo do Cajuru,city,1,0,True,22478,3114204,4.44879,
2020-03-29,MG,Contagem,city,4,0,True,663855,3118601,0.60254,
2020-03-29,MG,Coronel Fabriciano,city,1,0,True,109855,3119401,0.91029,
2020-03-29,MG,Divinópolis,city,7,0,True,238230,3122306,2.93834,
2020-03-29,MG,Extrema,city,1,0,True,36225,3125101,2.76052,
2020-03-29,MG,Governador Valadares,city,2,0,True,279885,3127701,0.71458,
2020-03-29,MG,Guimarânia,city,1,0,True,8039,3128907,12.43936,
2020-03-29,MG,Importados/Indefinidos,city,3,0,True,,,,
2020-03-29,MG,Ipatinga,city,1,0,True,263410,3131307,0.37964,
2020-03-29,MG,Juiz de Fora,city,11,0,True,568873,3136702,1.93365,
2020-03-29,MG,Lagoa da Prata,city,2,0,True,52165,3137205,3.83399,
2020-03-29,MG,Mariana,city,2,0,True,60724,3140001,3.29359,
2020-03-29,MG,Muriaé,city,1,0,True,108763,3143906,0.91943,
2020-03-29,MG,Nova Lima,city,19,0,True,94889,3144805,20.0234,
2020-03-29,MG,Patrocínio,city,1,0,True,90757,3148103,1.10184,
2020-03-29,MG,Poços de Caldas,city,2,0,True,167397,3151800,1.19476,
2020-03-29,MG,Sabará,city,3,0,True,136344,3156700,2.20032,
2020-03-29,MG,Santa Luzia,city,1,0,True,219134,3157807,0.45634,
2020-03-29,MG,São João del Rei,city,2,0,True,90082,3162500,2.2202,
2020-03-29,MG,Serra do Salitre,city,1,0,True,11582,3166808,8.63409,
2020-03-29,MG,Sete Lagoas,city,2,0,True,239639,3167202,0.83459,
2020-03-29,MG,Timóteo,city,1,0,True,89842,3168705,1.11307,
2020-03-29,MG,Uberaba,city,3,0,True,333783,3170107,0.89879,
2020-03-29,MG,Uberlândia,city,7,0,True,691305,3170206,1.01258,
2020-03-29,MG,,state,231,0,True,21168791,31,1.09123,
2020-03-29,MS,Batayporã,city,2,0,True,11329,5002001,17.65381,
2020-03-29,MS,Campo Grande,city,29,0,True,895982,5002704,3.23667,
2020-03-29,MS,Dourados,city,2,0,True,222949,5003702,0.89707,
2020-03-29,MS,Ponta Porã,city,1,0,True,92526,5006606,1.08078,
2020-03-29,MS,Rio Verde de Mato Grosso,city,1,0,True,19746,5007406,5.06432,
2020-03-29,MS,Sidrolândia,city,1,0,True,57665,5007901,1.73415,
2020-03-29,MS,,state,36,0,True,2778986,50,1.29544,
2020-03-29,PA,Ananindeua,city,4,0,True,530598,1500800,0.75387,
2020-03-29,PA,Belém,city,12,0,True,1492745,1501402,0.80389,
